mask star_id focus_oc mag bestA_Autocol_180825 bestA_Autocol_180831 UV_focus_180825 UV_focus_180831 RA DEC xguider yguider xguider2 yguider2 xguider3 yguider3
2 21 13.65 12 16.53 13.52 16.45 13.69 252.82995 34.94577 624.1 655.7 616.4 627.5 611.7 602.9
2 36 13.25 11 16.32 13.48 16.45 13.69 252.89550 34.87533 731.8 310.9 737.5 286.4 736.4 267.6
2 40 14.5 12 16.57 13.7 16.45 13.69 252.83754 34.83683 496.2 226.4 505.3 192.8 505.0 174.2
2 46 14.5 9 16.61 13.76 16.45 13.69 252.78766 34.81063 298.1 177.7 309.2 136.4 307.8 122.6
3 5 14.15 9 16.55 13.79 16.45 13.69 352.228576 -0.041124 353.4 983.0 341.5 969.8 329.1 895.7
3 9 13.55 12 16.3 13.58 16.45 13.69 352.267202 0.107397 955.8 813.2 946.5 808.0 936.4 741.3
3 20 14.5 12 16.73 13.97 16.45 13.69 352.387774 -0.111235 58.5 322.4 55.4 304.9 48.5 228.0
1 31 12.95 12 16.04 13.31 16.45 13.69 32.25453 -5.81526 836.6 344.4 845.7 333.6 839.5 292.8
1 25 12.45 9 15.94 13.03 16.45 13.69 32.22149 -5.77651 990.2 476.9 996.4 469.4 990.3 425.5
1 8 12.45 11 15.93 12.92 16.45 13.69 32.10140 -5.78650 954.7 952.1 950.5 943.8 940.3 900.8
4 29 14.0 10 16.56 13.75 16.45 13.69 36.987137 0.402799 375.6 274.0 382.9 264.4 372.9 222.4
4 14 13.0 12 16.22 13.31 16.45 13.69 36.867454 0.492628 743.5 767.3 745.8 761.2 732.1 714.3
4 18 12.67 11 15.9 13.27 16.45 13.69 36.877561 0.53311 905.8 724.4 908.5 719.8 895.8 671.3
4 34 14.0 9 16.93 13.75 16.45 13.69 37.023638 0.39084 329.1 119.6 337.9 109.5 328.2 75.3
