Internal count,RA,DEC,X,Y,GAIA gband,SDSS gband,SDSS rband,Xguider,Yguider,Xguider2,Yguider2
1,352.19285,0.252679,-6.36378,1.711911,,,14,1523.0218701841654,1092.0059910743998,1510.5981055162833,1094.3534424522784
2,352.200065,-0.145873,-6.056907,-15.248016,,14,13,-92.45314961938372,1117.8795827908789,-106.55913647515307,1098.82280894921
3,352.222365,-0.065909,-5.107941,-11.845152,,,14,249.57398974016985,1011.8429190414955,237.15646263723895,997.3171066887517
4,352.226278,0.227854,-4.941321,0.65549,,14,14,1426.059408263862,965.3110385421018,1415.1619232737548,966.3128958290811
5,352.228576,-0.041124,-4.843635,-10.790471,9,10,9,353.4101855036889,982.9681967990201,341.4536935582293,969.815457992941
6,352.228614,0.070363,-4.841979,-6.046274,,,9,809.9524393145521,970.45078919828,798.4884365128887,963.3866660981495
7,352.249592,-0.047167,-3.949319,-11.047629,,,4,327.45420486550944,896.769866370533,316.6472341155499,883.1872000044884
8,352.259168,0.072239,-3.541785,-5.966414,,,14,816.0577767411992,847.6287902949049,806.2152029965566,840.5525112623127
9,352.267202,0.107397,-3.199912,-4.470323,,13,12,955.7861839419787,813.2265808353644,946.4881708607969,807.9786773345858
10,352.315435,0.070363,-1.147428,-6.04628,,,14,806.981129422165,621.8587861158223,800.0977195367152,614.5400019056743
11,352.31773,-0.151979,-1.0498,-15.50781,11,12,11,-119.61517852081157,618.2840157967646,-126.80210749698037,598.3810868723392
12,352.32248,0.090797,-0.84766,-5.176723,,,14,888.3644979937808,593.3930183378345,881.8946642321781,587.1469766639261
13,352.322988,0.084248,-0.826048,-5.45542,,,14,862.3038520826635,591.4167902131175,855.8466846850501,584.8234273254426
14,352.343422,-0.092122,0.043507,-12.960615,,,13,138.008568993934,508.77157403947876,132.38267904373848,492.36491896765153
15,352.360339,0.176212,0.763346,-1.542029,,,14,1222.2681291575204,444.7388215934655,1217.8846072462754,442.87585664010726
16,352.368866,-0.116016,1.126225,-13.977424,,,14,37.190717069607906,401.75198633048177,33.0037641958375,383.92406398750876
17,352.383434,0.164432,1.746134,-2.043322,,14,13,1176.5722878806089,353.7312214682576,1173.3322992573064,351.260976838571
18,352.385064,0.242702,1.815491,1.287315,11,12,11,1475.7656067888456,351.5821334859521,1472.689047744771,353.03957761992774
19,352.385195,-0.18561,1.821103,-16.938996,,,14,-263.3173352628511,330.1230588396269,-266.5277359457142,308.10428902965486
20,352.387774,-0.111235,1.930845,-13.773961,,12,12,58.50638377206623,322.426324860575,55.4011865267681,304.8762772843789
21,352.406434,-0.021687,2.724892,-9.963336,,,9,434.4170022722189,250.2236696957125,432.3175862566983,237.81546355517534
22,352.444031,0.221296,4.324691,0.376457,,,14,1394.732697114019,122.02299548244392,1394.5169089076437,122.45811217544343
23,352.46089,0.211797,5.042105,-0.027769,,,14,1358.9428789462106,55.620642400038086,1359.5533171468046,55.60725576435872
24,352.478845,-0.129183,5.80627,-14.537759,,,14,-11.032248794861431,-62.48998394101351,-8.908985168370663,-80.96064378686386
25,352.497461,0.196946,6.598318,-0.659701,,,14,1303.4539512738424,-88.44601494780746,1305.8681555203123,-89.12667813100538
26,352.514162,0.095642,7.309035,-4.97053,,14,,912.0917043635084,-170.53710500153827,915.5151417145207,-176.3746192795202
