RA_UV,DEC_UV,NUV,FUV,sep,RA_OP,DEC_OP,GMAG,RMAG
253.240115,31.701153,10.81,0.0,10.9,253.096545,31.836602,10.33,9.31
253.240115,31.701153,10.81,0.0,10.9,253.096527,31.836589,10.37,9.29
257.007834,35.937022,11.2,0.0,12.0,256.866784,35.773662,10.1,9.22
257.007834,35.937022,11.2,0.0,12.0,256.866789,35.773654,10.12,9.25
135.765885,49.94835,11.28,0.0,8.9,135.813545,50.09427,10.06,8.96
32.853484,31.526434,11.37,0.0,9.2,33.026979,31.564238,10.37,9.7
249.78832,38.345107,11.52,12.72,6.7,249.648323,38.326436,9.79,8.47
114.377783,44.621527,11.59,0.0,6.7,114.225519,44.648744,10.24,9.48
346.979774,31.458404,11.61,12.94,4.7,346.924172,31.52035,10.24,9.5
346.979774,31.458404,11.61,12.94,11.9,347.11051,31.623166,10.94,10.01
23.709923,32.955601,11.69,0.0,9.3,23.544542,33.024504,10.33,9.35
266.800006,63.123017,11.72,12.94,11.9,267.235211,63.151847,10.48,9.36
266.800006,63.123017,11.72,12.94,11.9,267.23521,63.151822,10.43,9.37
266.800006,63.123017,11.72,12.94,10.4,266.799987,63.29704,13.71,9.55
349.426976,31.02964,11.78,0.0,13.1,349.453909,30.812492,10.78,9.54
349.426976,31.02964,11.78,0.0,11.4,349.228994,30.946064,10.96,10.02
116.470126,65.156958,11.85,0.0,8.3,116.676956,65.264648,11.02,9.92
116.469409,65.15272,11.87,0.0,8.5,116.676956,65.264648,11.02,9.92
126.734947,42.102098,11.93,0.0,11.2,126.71583,41.915488,11.42,9.99
126.734947,42.102098,11.93,0.0,11.2,126.715726,41.91548,11.56,10.01
126.734947,42.102098,11.93,0.0,11.2,126.715739,41.915495,11.46,10.0
126.734947,42.102098,11.93,0.0,11.2,126.715839,41.915431,11.72,10.0
16.475357,32.993311,11.94,15.27,8.2,16.578052,33.100507,10.52,9.98
349.240701,30.374798,11.96,0.0,9.0,349.066881,30.390386,11.14,9.87
249.926597,54.391459,11.99,14.39,11.9,250.062799,54.574094,10.84,9.76
