MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,Z_VALUE,FLUX_V,FLUX_g,FLUX_r,BIBLIO,OTYPE_2,RA_2_A_ICRS_J2000_2000_d,DEC_2_D_ICRS_J2000_2000_d,SCRIPT_NUMBER_ID,Z,url,coord_x,coord_y,x_mm,y_mm,nuv_mag,slit_width,slit_length,yline_mm,em_line,wave,NUV_ned,FUV_ned
7C 1821+6419,275.4883876131,64.34339480891,14,14,0.012900000438094139,0.014000000432133675,90,A,O,2020yCat.1350....0G,Seyfert1,0.297,14.239999771118164,13.996000289916992,13.824000358581543,2022A&A...661A...3S|2022A&A...664A..46A|2022AJ....163..146S|2022ApJ...930...90M|2022ApJ...940....7F|2022MNRAS.509.1147K|2022MNRAS.509.4585M|2022MNRAS.509.4940T|2022MNRAS.510.1264S|2022MNRAS.511.1714T|2022Natur.606..261W|2022PASP..134i4102G|2021A&A...645A..18D|2021A&A...645A..95H|2021A&A...655A..60A|2021ApJ...908...85M|2021ApJ...910...60S|2021ApJ...919...22M|2021ApJ...923...50F|2021MNRAS.501.5811K|2021MNRAS.504.4460G|2021MNRAS.505.5012K|2021MNRAS.507..484J|2021MNRAS.508...79J|2021MNRAS.508.3796O|2020A&A...633L...4H|2020A&A...635A...1K|2020A&A...639A...5M|2020A&A...641A.162P|2020A&A...642A..24W|2020A&A...643A..36B|2020ApJ...889..121D|2020ApJ...894..142Q|2020ApJ...897...92D|2020ApJ...900..125R|2020ApJ...905...57R|2020MNRAS.492.3156L|2020MNRAS.496..784B|2019A&A...623A..11P|2019A&A...623A..56S|2019ApJ...870...31I|2019ApJ...871...32K|2019ApJ...871...57Y|2019ApJ...872...83K|2019ApJ...873..101Z|2019ApJ...885...63M|2019MNRAS.483L..75G|2019MNRAS.487.4775B|2019MNRAS.489.3351B|2019PASJ...71....4U|2018ApJ...853..177P|2018ApJ...855...18P|2018ApJ...858...45M|2018ApJ...860...33F|2018ApJ...863..122S|2018ApJ...866...33L|2018ApJS..237...11K|2018ApJS..238...32K|2018MNRAS.475.2051K|2018MNRAS.476.4965M|2018MNRAS.480.1187B|2017A&A...597A..66G|2017A&A...598A..51R|2017A&A...603A..49R|2017A&A...607A..48R|2017AJ....154..114O|2017ApJ...834..171R|2017ApJ...835...74I|2017ApJ...836L...8C|2017ApJ...840...71K|2017ApJ...844...23P|2017ApJ...850...74K|2017ApJS..230....6K|2017ApJS..232...21K|2017ApJS..233...17R|2017MNRAS.464..398D|2017MNRAS.465.4872G|2017MNRAS.467.3172G|2017MNRAS.468.1245P|2017MNRAS.468.1683R|2017NewA...51...65P|2017RAA....17...52G|2016A&A...588A..70B|2016A&A...590A..68R|2016AJ....152...25M|2016ApJ...817..111D|2016ApJ...818..113N|2016ApJ...821...15F|2016ApJ...822...21H|2016ApJ...829....4L|2016ApJ...831...76F|2016ApJS..222...25S|2016ApJS..223...15B|2016ApJS..226...19F|2016ApJS..227...31S|2016MNRAS.456L.109K|2016MNRAS.457..676N|2016MNRAS.458.2012V|2016MNRAS.459.2940K|2015AJ....150..111O|2015ApJ...798....6F|2015ApJ...798L..30D|2015ApJ...799...21S|2015ApJ...811..111M|2015ApJ...814...40W|2015MNRAS.449.4010K|2015MNRAS.451.3061F|2015MNRAS.453.1223H|2015MNRAS.454.1157P|2015MNRAS.454.1202S|2014ApJ...783..106L|2014ApJ...790...15S|2014ApJ...791..128S|2014ApJ...792L..41R|2014ApJ...794...75S|2014ApJS..212....8S|2014MNRAS.438.2898E|2014MNRAS.439.1051L|2014MNRAS.442.2809W|2014MNRAS.444L..44B|2014MNRAS.445.2061L|2013A&A...549A.125R|2013A&A...550A..87H|2013ApJ...763..148S|2013ApJ...765L..31R|2013ApJ...766...26M|2013ApJ...767...72R|2013ApJ...768...11B|2013ApJ...778...33U|2013ApJ...778...62L|2013ApJS..207...19B|2013MNRAS.429.2069D|2013MNRAS.430L..49M|2013MNRAS.431.1638H|2013MNRAS.432..530R|2013MNRAS.435.1233G|2013MNRAS.435.1840R|2012A&A...548A..79A|2012AJ....143...28F|2012ARA&A..50..455F|2012ApJ...745...71P|2012ApJ...746..173T|2012ApJ...749...21A|2012ApJ...749..123H|2012ApJ...749..157W|2012ApJ...750...92X|2012ApJ...753...17C|2012ApJ...753..104M|2012ApJ...755..171S|2012ApJ...756...27L|2012ApJ...759..112T|2012ApJ...760...41D|2012ApJ...760...68C|2012ApJ...761..184W|2012ApJS..199....8G|2012ApJS..201...34B|2012MNRAS.422..590R|2012MNRAS.424.2971O|2012MNRAS.426.1750M|2012NewA...17..331Z|2012NewAR..56...74P|2011A&A...528A.124C|2011A&A...532A.102R|2011AJ....141..129H|2011ApJ...728...58B|2011ApJ...728..159W|2011ApJ...729...87C|2011ApJ...730...19S|2011ApJ...730...58F|2011ApJ...731...14S|2011ApJ...737...64A|2011ApJ...740...94D|2011ApJ...743...81G|2011ApJS..195....9C|2011MNRAS.413..313H|2011MNRAS.414..218L|2011MNRAS.414..500H|2011MNRAS.416.2600B|2011Sci...334..955L|2010A&A...510A..48C|2010A&A...515A..99R|2010A&A...518A..10V|2010A&A...523A..61K|2010A&A...524A..30Z|2010A&A...524A..64C|2010ApJ...708..868C|2010ApJ...709L.138L|2010ApJ...710..613D|2010ApJ...712.1443N|2010ApJ...713..232P|2010ApJ...714..320A|2010ApJ...716.1514Y|2010ApJ...717L.122R|2010ApJ...719.1526S|2010ApJ...721..960N|2010ApJ...722..102S|2010ApJ...724..386K|2010ApJ...724.1193O|2010ApJS..186..378T|2010ApJS..187..581S|2010MNRAS.402.1561R|2010MNRAS.402.2441D|2010MNRAS.402.2453D|2010MNRAS.405.1736W|2010MNRAS.406..720R|2010MNRAS.406.1060D|2009A&A...495..421B|2009A&A...505..385A|2009A&ARv..17...47T|2009AJ....137.3388W|2009AJ....138..845O|2009ApJ...695.1631R|2009ApJ...697.1784Y|2009ApJ...699..603A|2009ApJ...699..754S|2009ApJ...701..891L|2009ApJ...702..767W|2009ApJ...705..962C|2009ApJS..182..378W|2009ApJS..184..138H|2009MNRAS.393..309S|2009MNRAS.393.1433D|2009MNRAS.395.1875O|2009MNRAS.396.1875H|2009MNRAS.398..109W|2008A&A...478..321B|2008ApJ...679..194D|2008ApJ...683...22T|2008ApJ...685..344P|2008ApJ...687..767K|2008ApJS..174..282L|2008ApJS..177...39T|2008ApJS..178..280B|2008ApJS..179...37T|2008MNRAS.387..856Z|2008MNRAS.387.1237D|2008MNRAS.390..336C|2008MNRAS.390..421V|2008MNRAS.390..819G|2007A&A...461..917J|2007A&A...466..831S|2007A&A...466..865G|2007A&A...470..497K|2007A&A...471..775R|2007A&G....48a..25W|2007AJ....133.1331H|2007AJ....134.2006R|2007AN....328..953C|2007ARA&A..45..221B|2007Ap.....50...40D|2007ApJ...658..680L|2007ApJ...666..757S|2007ApJ...669...74L|2007ApJ...670..978B|2007ApJ...670..992F|2007MNRAS.374..237L|2007MNRAS.376.1227K|2007MNRAS.381.1093H|2007MNRAS.382..194N|2006A&A...445..827R|2006A&A...454..459K|2006A&A...455..773V|2006AN....327..191C|2006AN....327.1012C|2006AN....327.1020L|2006ApJ...636..891G|2006ApJ...636..908G|2006ApJ...637..183L|2006ApJ...640..716D|2006ApJ...641..190M|2006ApJ...641..217S|2006ApJ...644..174F|2006ApJ...644..725J|2006ApJ...647..161O|2006ApJ...652..189K|2006ApJ...653..954D|2006ApJS..163..110S|2006ApJS..163..282W|2006ApJS..165..229F|2006MNRAS.367..139A|2006MNRAS.368..668K|2006MNRAS.368L..62N|2006MNRAS.371L..65S|2006MNRAS.373..551L|2006PASJ...58..641Y|2006PASJ...58..657K|2006PhR...427....1P|2005A&A...438..481R|2005A&A...442..461D|2005Ap.....48..304D|2005ApJ...618..108B|2005ApJ...618..592S|2005ApJ...620...95T|2005ApJ...623..112Y|2005ApJ...623..196C|2005ApJ...623L..97T|2005ApJ...624..555D|2005ApJ...625...78H|2005ApJ...626...89B|2005ApJ...632...92N|2005ApJ...633...61F|2005ApJ...633L..81R|2005ChJAA...5...41Z|2005MNRAS.359..846S|2005MNRAS.363.1241H|2004A&A...413..817I|2004A&A...418..465L|2004A&A...418..927R|2004A&A...422...39S|2004A&A...423..469S|2004ApJ...602..738F|2004ApJ...607..309I|2004ApJ...615..767L|2004ApJ...617..192M|2004ApJ...617..232M|2004ApJS..150...73E|2004ApJS..151..299H|2004ApJS..153..165R|2004MNRAS.349.1419C|2004MNRAS.350..140S|2004MNRAS.355..196F|2004MNRAS.355..973S|2004NewAR..48.1151B|2003A&A...411L..59E|2003A&A...412..707R|2003AJ....125.3122T|2003ARA&A..41..291P|2003ApJ...582...82M|2003ApJ...586L..49F|2003ApJ...590...86L|2003ApJ...590..128K|2003ApJ...590..746D|2003ApJ...591..677R|2003ApJ...594...42C|2003ApJ...596...85Y|2003ApJS..145..199M|2003ApJS..146....1W|2003ApJS..146..125S|2003ApJS..146..165S|2003ApJS..149...29G|2003MNRAS.339.1163C|2003MNRAS.346.1103P|2003NewAR..47..397R|2003NewAR..47..561C|2003NewAR..47..593B|2003PASJ...55..879Y|2002A&A...393..793S|2002AJ....124...18Z|2002ApJ...564..631S|2002ApJ...565...86F|2002ApJ...565..720P|2002ApJ...571..654D|2002ApJ...571..665S|2002ApJ...572L.127F|2002ApJ...573..157N|2002ApJ...574..599M|2002ApJ...577..691H|2002ApJ...581L..71D|2002ApJS..140..143B|2002ApJS..140..331L|2002ApJS..143..257K|2002MNRAS.335..177S|2002MNRAS.335..555K|2002MNRAS.335..574V|2002MNRAS.335..773S|2002MNRAS.335.1017W|2002MNRAS.335.1163F|2001A&A...374..871R|2001ApJ...546..744N|2001ApJ...546..782M|2001ApJ...547..907S|2001ApJ...549..133G|2001ApJ...549..281R|2001ApJ...553..528D|2001ApJ...553L.115M|2001ApJ...560..101P|2001ApJ...561..573S|2001ApJ...561L..31F|2001ApJ...562L...5B|2001ApJ...563..724T|2001ApJS..133....1U|2001ApJS..136..463W|2001ApJS..136..537W|2001ChJAA...1..221X|2001MNRAS.327.1187M|2001NewAR..45..641W|2000A&A...353..861W|2000A&A...357..839C|2000ARA&A..38..521S|2000ApJ...531..654P|2000ApJ...534...41R|2000ApJ...534L...1T|2000ApJ...538L..13S|2000ApJ...538L..23O|2000ApJ...538L..27S|2000ApJ...538L..31S|2000ApJ...542...42T|2000ApJ...543..552S|2000ApJ...544..150P|2000ApJS..129..547B|2000ApJS..129..563S|2000ApJS..130..121P|2000MNRAS.316..234R|2000MNRAS.316..885R|2000MNRAS.317...55S|1999AJ....117..677B|1999AJ....117.2063K|1999Ap.....42....1M|1999ApJ...515..108S|1999ApJ...525L...9Y|1999MNRAS.306..161A|1999MNRAS.308.1087L|1999MNRAS.308.1096L|1999MNRAS.308.1159C|1998A&A...329...30R|1998A&A...330..108Y|1998A&A...331L..73F|1998A&A...332..814L|1998A&AS..129...87B|1998AJ....115..436S|1998AJ....115.1725B|1998AJ....116.2682C|1998ApJ...493....1W|1998ApJ...495..152L|1998ApJ...503..212T|1998ApJ...506....1W|1998ApJ...508..200T|1998ApJS..115..225L|1998MNRAS.297..239B|1998MNRAS.299..165B|1997A&A...319..413B|1997A&A...326..885B|1997AJ....113.1179H|1997AJ....113.2158S|1997ARA&A..35..217W|1997ApJ...475L...9Z|1997ApJ...480..216S|1997ApJ...486..763Y|1997ApJ...488L..91N|1997ApJS..113..311M|1997MNRAS.284..717K|1997MNRAS.286..765A|1997MNRAS.288..260G|1997MNRAS.288..920L|1997MNRAS.289..196S|1997MNRAS.292..105R|1997MNRAS.292..468R|1997PASP..109..584S|1997RMxAC...6..213M|1996A&A...306..691L|1996ARA&A..34..279S|1996ApJ...457...19B|1996ApJ...457..542S|1996ApJ...464..165N|1996ApJ...464..704H|1996ApJ...465..296H|1996ApJ...468L..91B|1996ApJ...469..564W|1996ApJ...473..110U|1996ApJS..104..287S|1996ApJS..106..341M|1996ApJS..107...69C|1996MNRAS.282..117G|1996VA.....40..197F|1995A&A...297L..55W|1995A&A...298..375F|1995A&A...302..364S|1995A&A...303..449R|1995A&AS..109..147B|1995A&AS..110..419V|1995ApJ...440..435L|1995ApJ...440..606Z|1995ApJ...440..610S|1995ApJ...444..632Z|1995ApJ...446..150P|1995ApJ...449..145S|1995ApJ...451..616S|1995ApJ...454...50X|1995ApJS...96..303W|1995ApJS...97....1L|1995MNRAS.274L...9B|1995MNRAS.275...77G|1995MNRAS.276....1N|1995MNRAS.276..614L|1995PASJ...47..131T|1994A&A...284..764B|1994A&A...285..119W|1994A&A...285..812B|1994A&A...291...74P|1994A&AS..104..473S|1994AcApS..14..197F|1994ApJ...420..143I|1994ApJ...436L..51F|1994ApJS...94..517M|1994BAAS...26..902S|1994IAUS..159...73I|1994IAUS..159..330O|1994IAUS..159..484K|1994PASP..106..646K|1993A&A...274..105W|1993ApJ...402..493C|1993ApJ...402..514K|1993ApJ...404...94K|1993ApJ...404..124S|1993ApJ...404..551O|1993ApJ...405..491B|1993ApJ...413..116S|1993ApJ...413L..15I|1993ApJ...415..517Z|1993ApJ...418..638Y|1993ApJS...87....1B|1993ApJS...87...45S|1993ApJS...87..451H|1993BAAS...25..792L|1993BAAS...25.1326M|1993BAAS...25.1474L|1993MNRAS.260...77P|1993MNRAS.262...63S|1993MNRAS.263..607H|1993MNRAS.263..707L|1993MNRAS.265..664G|1993PASP..105..447M|1992A&A...261...57B|1992A&A...265..429A|1992A&A...266..183U|1992AGAb....7..180L|1992AJ....103.1047S|1992AJ....103.1746N|1992AJ....104....1H|1992ARA&A..30..391B|1992ApJ...389..157W|1992ApJ...397...68B|1992ApJ...398..495B|1992ApJ...399L..19B|1992ApJS...80..257E|1992MNRAS.256..404L|1992MNRAS.258..828L|1992MNRAS.259..743L|1992PASP..104..711K|1991AJ....101..434H|1991AJ....101.2001H|1991ApJ...367..455K|1991ApJ...371L..51C|1991ApJ...373...57K|1991ApJ...376..480Z|1991ApJ...378...77G|1991ApJS...75..645K|1991BAAS...23.1344B|1991MNRAS.251..529C|1990AJ.....99.1907W|1990ApJS...74..675B|1990BAAS...22.1193K|1990IAUC.5040....1A|1989A&A...219...87C|1989A&A...223L...1G|1989ApJ...342..660H|1989ApJS...69....1H|1989MNRAS.238..917W|1988AcASn..29...38L|1988ComAp..12..287K|1988Natur.333..495T|1987AJ.....94.1271W|1986ApJ...308..815N|1986ApJS...61..353S|1986MNRAS.222..787M|1986Natur.320..421B|1986PPMtO...5..190L|1984ApJ...281..570P|1984ApJS...56..507W|1984BAAS...16..480S|1984BAAS...16..933S|1983BAAS...15..914P|1982Ap&SS..82....3A|1982PASJ...34..407N|1980AnTok..18...55N|1979ApJS...40..657M,Seyfert1,275.4883876131,64.34339480891,1,0.297,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=275.4883876d64.3433948d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.30</a>,2.4136066545388246e-07,3.791495226668218e-07,2.397056308085948e-07,3.7654965580542646e-07,0,0.075,0.24,-3.0458635178103504,1549.5,2009.7015,99.9,99.9
SDSS J182158.26+642023.3,275.492764,64.33982,9,9,,,0,C,O,2020ApJS..249....3A,Galaxy,0.2944,,21.849000930786133,20.079999923706055,2018MNRAS.480.1187B|1994PASP..106..646K,Galaxy,275.492764,64.33982,1,0.2944,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=275.4927640d64.3398200d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.29</a>,0.08064359521259024,-0.15211637299391068,0.08009057115940918,-0.15107321497340664,0,0.075,0.24,-3.4408980996454037,1549.5,2005.6728,99.9,99.9
SDSS J182155.10+642004.4,275.47967408,64.33454994,9,9,,,0,C,O,2020ApJS..249....3A,Galaxy,0.293,,21.267000198364258,19.45599937438965,2018MNRAS.480.1187B|1998ApJ...508..200T|1994PASP..106..646K,Galaxy,275.47967408,64.33454994,1,0.293,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=275.4796741d64.3345499d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.29</a>,-0.16059412307320953,-0.37636601753123133,-0.1594924789437001,-0.37378422060226707,0,0.075,0.24,-3.794972715442279,1549.5,2003.5034999999998,99.9,99.9
SDSS J182155.81+642002.4,275.482563,64.334015,9,9,,,0,C,O,2020ApJS..249....3A,Galaxy,0.30294,,21.39900016784668,19.791000366210938,2018MNRAS.480.1187B|1998ApJ...508..200T|1994PASP..106..646K,Galaxy,275.482563,64.334015,1,0.30294,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=275.4825630d64.3340150d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.30</a>,-0.10735210408162055,-0.39913551085597754,-0.10661568409614608,-0.396397498689179,0,0.075,0.24,-2.884904361336379,1549.5,2018.90553,99.9,99.9
SDSS J182205.23+641953.8,275.52178504,64.33161214,9,9,,,0,C,O,2020ApJS..249....3A,Galaxy,0.2965,,21.42099952697754,20.090999603271484,2018MNRAS.480.1187B|1994PASP..106..646K,Galaxy,275.52178504,64.33161214,1,0.2965,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=275.5217850d64.3316121d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.30</a>,0.6155956274654878,-0.5012280856525358,0.6113684026077694,-0.4977862096408746,0,0.075,0.24,-3.5905656790608695,1549.5,2008.92675,24.8067,20.6074
SDSS J182147.78+642007.9,275.44905904,64.33553031,9,9,,,0,C,O,2020ApJS..249....3A,Galaxy,0.292,,21.621000289916992,19.992000579833984,2018MNRAS.480.1187B|1998ApJ...508..200T|1994PASP..106..646K,Galaxy,275.44905904,64.33553031,1,0.292,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=275.4490590d64.3355303d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.29</a>,-0.7248173507549378,-0.33443493047293193,-0.7198400354642209,-0.3321383683232276,0,0.075,0.24,-3.8471580132832304,1549.5,2001.954,99.9,99.9
SDSS J182202.39+642143.7,275.509985,64.362142,9,9,,,0,C,O,2020ApJS..249....3A,Galaxy,0.2975,,20.988000869750977,19.850000381469727,2018MNRAS.480.1187B|1994PASP..106..646K,Galaxy,275.509985,64.362142,1,0.2975,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=275.5099850d64.3621420d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.30</a>,0.39765092076514885,0.7978207876625643,0.3949193044423766,0.7923402514122454,0,0.075,0.24,-2.206608067887772,1549.5,2010.4762499999997,99.9,99.9
SDSS J182206.72+641951.3,275.528016,64.330936,9,9,,,0,C,O,2020ApJS..249....3A,Galaxy,0.3018,,21.554000854492188,20.04199981689453,2018MNRAS.480.1187B|1998ApJ...508..200T|1994PASP..106..646K,Galaxy,275.528016,64.330936,1,0.3018,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=275.5280160d64.3309360d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.30</a>,0.7304652272310186,-0.529934028759085,0.7254471631633542,-0.5262935503231313,0,0.075,0.24,-3.1217679241071252,1549.5,2017.1391,99.9,99.9
SDSS J182150.10+641922.6,275.458772,64.322967,9,9,,,0,C,O,2020ApJS..249....3A,Galaxy,0.2933,,21.90399932861328,20.253999710083008,2018MNRAS.480.1187B,Galaxy,275.458772,64.322967,1,0.2933,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=275.4587720d64.3229670d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.29</a>,-0.5460585731159258,-0.8691409319790866,-0.5423053463411673,-0.8631670618165356,0,0.075,0.24,-4.256206211620543,1549.5,2003.9683499999999,99.9,99.9
SDSS J182210.63+642030.6,275.54430775,64.34184069,9,9,,,0,C,O,2020ApJS..249....3A,Galaxy,0.2917,,20.726999282836914,19.106000900268555,2018MNRAS.480.1187B|1998ApJ...508..200T,Galaxy,275.54430775,64.34184069,1,0.2917,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=275.5443077d64.3418407d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.29</a>,1.030360699082951,-0.06567910963301193,1.0232785235749122,-0.06522766483116078,0,0.075,0.24,-3.608396654827154,1549.5,2001.48915,24.4509,22.5294
