Internal-count	#main_id	obj	ra	dec	z	xmask	ymask	slit_length_left	slit_length_right	offset	thickness	length_slit	xmm	ymm
1	102173356.0	0	31.891568	-5.706738	0.6412	-12.51997517	-0.79326406	0.12	0.12	0.0	0.075	0.24	-12.5199752	-0.7932641
2	102177432.0	0	31.898248	-5.68743	0.6443	-12.2415289	0.020946023	0.12	0.12	0.0	0.075	0.24	-12.2415289	0.020946
3	102166895.0	0	31.911268	-5.736654	0.6604	-11.69578144	-2.054673351	0.12	0.12	0.0	0.075	0.24	-11.6957814	-2.0546734
4	102189833.0	0	31.930955	-5.626884	0.656	-10.87441134	2.575589801	0.12	0.12	0.0	0.075	0.24	-10.8744113	2.5755898
5	102164719.0	0	31.942081	-5.747289	0.6556	-10.40678892	-2.503575717	0.12	0.12	0.0	0.075	0.24	-10.4067889	-2.5035757
6	102167331.0	0	31.947899	-5.735505	0.6562	-10.16388178	-2.006534116	0.12	0.12	0.0	0.075	0.24	-10.1638818	-2.0065341
7	102175258.0	0	31.969016	-5.698274	0.6418	-9.280872819	-0.435406664	0.12	0.12	0.0	0.075	0.24	-9.2808728	-0.4354067
8	102173787.0	0	31.97817	-5.704451	0.6423	-8.89721909	-0.696043491	0.12	0.12	0.0	0.075	0.24	-8.8972191	-0.6960435
9	102175840.0	0	31.984216	-5.694945	0.6418	-8.64404662	-0.294715158	0.12	0.12	0.0	0.075	0.24	-8.6440466	-0.2947152
10	102161718.0	0	31.993805	-5.761194	0.6556	-8.239980602	-3.091089791	0.12	0.12	0.0	0.075	0.24	-8.2399806	-3.0910898
11	102176019.0	0	32.000532	-5.693551	0.6414	-7.96006369	-0.235674456	0.12	0.12	0.0	0.075	0.24	-7.9600637	-0.2356745
12	102162797.0	0	32.007183	-5.755669	0.6544	-7.679379267	-2.858121775	0.12	0.12	0.0	0.075	0.24	-7.6793793	-2.8581218
13	102178144.0	0	32.02289	-5.683079	0.6425	-7.022350901	0.206799196	0.12	0.12	0.0	0.075	0.24	-7.0223509	0.2067992
14	111007086.0	0	32.06701	-5.594838	0.6374	-5.16967284	3.934102036	0.12	0.12	0.0	0.075	0.24	-5.1696728	3.934102
15	102195156.0	0	32.08196	-5.599334	0.6408	-4.541753926	3.744763132	0.12	0.12	0.0	0.075	0.24	-4.5417539	3.7447631
16	102170695.0	0	32.090328	-5.718481	0.6419	-4.190085005	-1.288154432	0.12	0.12	0.0	0.075	0.24	-4.190085	-1.2881544
17	102170154.0	0	32.096311	-5.721319	0.6466	-3.938649664	-1.40805133	0.12	0.12	0.0	0.075	0.24	-3.9386497	-1.4080513
