Internal-count	ID	RA	DEC	xmm	ymm	Z
1	22058446	252.836700	35.181553	-11.057825	-4.254341	0.716138
2	22059329	252.829681	35.174152	-10.848347	-4.589030	0.715843
3	22058489	252.836411	35.170872	-10.639589	-4.419259	0.732198
4	22059162	252.823288	35.159351	-10.339247	-5.011362	0.715985
5	22058851	252.856888	35.164837	-10.159988	-3.844789	0.716223
6	22058820	252.850342	35.154362	-9.823285	-4.209029	0.716030
7	22058821	252.862045	35.150459	-9.531042	-3.887082	0.680575
8	22058539	252.882523	35.133812	-8.631110	-3.466157	0.737384
9	22057699	252.991058	35.160866	-8.420053	0.443957	0.737028
10	22052038	252.887543	35.119213	-7.994179	-3.515738	0.706104
11	22058346	252.969788	35.131680	-7.515904	-0.668310	0.697363
12	22051758	252.861877	35.090836	-7.174250	-4.760010	0.715140
13	22056705	253.117645	35.153870	-6.648600	4.448872	0.665325
14	22051506	252.930115	35.089039	-6.295857	-2.573641	0.730367
15	22051304	252.910934	35.077480	-6.064821	-3.363704	0.716913
16	22050852	252.995956	35.089752	-5.545143	-0.426152	0.737221
17	22051521	252.973953	35.077305	-5.311963	-1.320898	0.730436
18	22043431	252.952087	35.066364	-5.137002	-2.189461	0.737945
19	22043684	252.973190	35.058842	-4.588798	-1.613233	0.732895
20	22042720	253.006454	35.063320	-4.372621	-0.467801	0.645221
21	22043399	252.943314	35.040070	-4.198140	-2.855762	0.717483
22	22101097	252.992584	35.036247	-3.462705	-1.310491	0.645997
23	22101105	253.001923	35.033657	-3.249293	-1.044503	0.716685
24	22035578	252.961456	35.015884	-3.023588	-2.617125	0.682687
25	22042190	253.059113	35.040409	-2.840166	0.912241	0.731580
26	22036158	252.881576	34.968987	-2.111124	-5.892199	0.729473
27	22034833	252.979843	34.959171	-0.554490	-2.841184	0.734024
28	22026854	252.975067	34.948456	-0.185836	-3.151720	0.732292
29	22033631	253.124603	34.985374	0.119923	2.247706	0.707987
30	22027632	252.955002	34.929619	0.323464	-4.077156	0.706672
31	22026515	253.072601	34.939098	1.342500	-0.113003	0.715822
32	22026440	253.050461	34.923092	1.715713	-1.065157	0.731517
33	22025721	253.157181	34.930035	2.702785	2.509810	0.717895
34	22025807	253.150223	34.920090	3.015535	2.139867	0.667723
35	22025531	253.132278	34.909344	3.230202	1.400542	0.731720
36	22025726	253.149384	34.909374	3.431100	1.957997	0.715598
37	22012085	252.945648	34.833462	4.026360	-5.772590	0.712016
38	22017439	253.189056	34.898399	4.334963	3.091563	0.717485
39	22011836	252.976364	34.822334	4.833087	-4.933706	0.729050
40	22012600	252.942764	34.807022	5.039658	-6.248197	0.716655
41	22018248	253.149094	34.855316	5.573204	1.168931	0.717987
42	22010463	253.122681	34.825806	6.431447	-0.117245	0.677338
43	22010132	253.207932	34.838333	6.940469	2.840807	0.698385
44	22010109	253.224945	34.835129	7.267641	3.348729	0.730489
45	22004893	252.972473	34.752457	7.553630	-6.067934	0.700952
46	22009513	253.266464	34.834663	7.773563	4.693674	0.699278
47	22004133	253.012177	34.747101	8.238039	-4.852230	0.701142
48	22003434	253.083267	34.759083	8.607859	-2.363390	0.731049
QSOgal1	22033483	253.140564	34.986008	0.283280	2.776141	0.732091
LyC1	22058882	252.847061	35.141460	-9.352089	-4.502986	1.339560
LyC2	22057360	253.014282	35.150745	-7.745242	1.050822	1.366520
LyC3	22044369	252.856140	35.030621	-4.856835	-5.821885	1.356000
LyC4	22043569	252.940033	35.028366	-3.772790	-3.132094	1.310330
LyC5	22034247	253.098236	34.967003	0.537772	1.124517	1.291160
LyC6	22033277	253.155975	34.977661	0.796948	3.157194	1.328240
LyC7	22018820	253.114075	34.868103	4.651949	0.212511	1.340960
LyC8	22011859	253.018646	34.808941	5.866679	-3.750221	1.319660
LyC9	22002379	253.221146	34.778721	9.457518	2.412785	1.294900
LyC10	22002698	253.148025	34.745926	9.894054	-0.442092	1.335790
OVI1	22059377	252.790543	35.1747589111328	-11.332867	-5.844724	1.012040
OVI2	22049862	253.094513	35.1258125305175	-5.809828	3.294571	0.935342
OVI3	22042216	253.108826	35.0188331604003	-1.395447	2.217201	0.989232
OVI4	22010133	253.185013	34.8374710083007	6.704737	2.081861	0.968294
OVI5	22010080	253.240128	34.8013114929199	8.786011	3.356245	0.931660
OVI6	22003507	253.078445	34.7416915893554	9.238671	-2.770923	0.958002
OVI7	22002285	253.187393	34.742332458496		10.500079	0.789267	1.044760
GALEXbright1	0	252.995708	34.992336	-1.682830	-1.844903	0.
GALEXbright2	0	253.251970	34.922949	4.100869	5.492310	0.
GALEXbright3	0	253.125225	35.103998	-4.582080	3.977514	0.
GALEXbright4	0	253.193754	34.807879	7.980643	1.940304	0.
QSO1		0	253.161150	34.964800	1.368890	3.140190	0.733000


