Internal-count	ID	RA	DEC	Xmm	Ymm	xmm	ymm	Z
1	31024677	352.039734	0.179945	-12.989245	-1.373719	-12.867121	-1.360804	0.735272
2	31024257	352.052155	0.215877	-12.456061	0.000000	-12.341818	0.000000	0.735643
3	32008888	352.108215	0.317711	-10.049613	4.517361	-9.962494	4.478201	0.652251
4	31048079	352.116028	0.128185	-9.714388	-3.613971	-9.632198	-3.583395	0.743440
5	32009189	352.131775	0.290375	-9.038358	3.341649	-8.963850	3.314103	0.740026
6	32008434	352.138855	0.289710	-8.734453	3.313237	-8.663179	3.286200	0.716711
7	32007853	352.155212	0.289182	-8.032329	3.291034	-7.968211	3.264763	0.738668
8	31042634	352.164215	0.071174	-7.646007	-6.067017	-7.582703	-6.016785	0.702728
9	32007822	352.173523	0.305561	-7.246363	3.996255	-7.189261	3.964764	0.636467
10	31047194	352.183044	0.112113	-6.837751	-4.307219	-6.784192	-4.273481	0.703406
11	32003192	352.192474	0.221199	-6.432933	0.331773	-6.384829	0.329292	0.717223
12	31047738	352.204651	0.125024	-5.910307	-3.752495	-5.865448	-3.724015	0.748410
13	31046545	352.217285	0.152038	-5.367982	-2.590640	-5.328320	-2.571499	0.653786
14	32000877	352.241730	0.190097	-4.318714	-0.949411	-4.287834	-0.942623	0.742486
15	32003186	352.253723	0.222507	-3.803903	0.410163	-3.776983	0.407261	0.703198
16	32000693	352.262970	0.185110	-3.407003	-1.167597	-3.382977	-1.159363	0.743376
17	32000669	352.271759	0.174836	-3.029745	-1.611555	-3.008434	-1.600219	0.737902
18	31046451	352.277679	0.143662	-2.775624	-2.953274	-2.755908	-2.932295	0.738157
19	32003054	352.289520	0.236750	-2.267357	1.038777	-2.251597	1.031557	0.685660
20	31101177	352.297455	0.206620	-1.926780	-0.231031	-1.913458	-0.229434	0.738182
21	32000576	352.313507	0.210361	-1.237758	-0.045085	-1.229241	-0.044775	0.715906
22	32007727	352.321075	0.285163	-0.912891	3.123487	-0.906486	3.101571	0.741064
